t,x1,x2
5440,-2.11030304323415E-10,1.20799690328938E-10
5450,-2.03921656536477E-10,1.17127121588305E-10
5460,-1.97053575383784E-10,1.13564269887862E-10
5470,-1.90417879028579E-10,1.10107936284446E-10
5480,-1.84006665392883E-10,1.0675501183971E-10
5490,-1.77812302537636E-10,1.03502475226305E-10
5500,-1.71827419375585E-10,1.00347390391623E-10
5510,-1.66044896705348E-10,9.72869042780261E-11
5520,-1.60457858555466E-10,9.43182445984484E-11
5530,-1.55059663827675E-10,9.14387176662946E-11
5540,-1.49843898228983E-10,8.8645706278547E-11
5550,-1.44804366482505E-10,8.59366676510175E-11
5560,-1.39935084807378E-10,8.33091314046807E-11
5570,-1.35230273658396E-10,8.07606976020382E-11
5580,-1.30684350716339E-10,7.82890348324754E-11
5590,-1.262919241203E-10,7.58918783455821E-11
5600,-1.22047785933581E-10,7.35670282314221E-11
5610,-1.17946905835073E-10,7.13123476467466E-11
5620,-1.1398442502828E-10,6.91257610861618E-11
5630,-1.1015565036043E-10,6.70052526972722E-11
5640,-1.06456048644385E-10,6.49488646388359E-11
5650,-1.02881241176328E-10,6.29546954809796E-11
5660,-9.94269984424111E-11,6.10208986465387E-11
5670,-9.60892350078326E-11,5.91456808925976E-11
5680,-9.28640045820111E-11,5.73273008313227E-11
5690,-8.97474952537523E-11,5.55640674891938E-11
5700,-8.67360248905178E-11,5.3854338903754E-11
5710,-8.38260366961116E-11,5.21965207570127E-11
5720,-8.10140949212965E-11,5.05890650446525E-11
5730,-7.82968807220427E-11,4.90304687802023E-11
5740,-7.56711881602998E-11,4.75192727333566E-11
5750,-7.31339203423558E-11,4.60540602016349E-11
5760,-7.06820856900237E-11,4.46334558145883E-11
5770,-6.83127943400582E-11,4.32561243697767E-11
5780,-6.6023254667368E-11,4.19207696997545E-11
5790,-6.38107699277403E-11,4.06261335693158E-11
5800,-6.16727350159478E-11,3.93709946022661E-11
5810,-5.9606633335246E-11,3.81541672370009E-11
5820,-5.76100337744144E-11,3.69745007101865E-11
5830,-5.56805877886221E-11,3.58308780678512E-11
5840,-5.38160265805331E-11,3.47222152032109E-11
5850,-5.20141583781891E-11,3.36474599205654E-11
5860,-5.02728658063254E-11,3.26055910246162E-11
5870,-4.85901033478976E-11,3.15956174345702E-11
5880,-4.6963894892702E-11,3.06165773224059E-11
5890,-4.53923313700865E-11,2.96675372746947E-11
5900,-4.38735684628492E-11,2.87475914773792E-11
5910,-4.24058243995252E-11,2.78558609229274E-11
5920,-4.09873778223563E-11,2.69914926392909E-11
5930,-3.9616565728337E-11,2.61536589401096E-11
5940,-3.8291781480815E-11,2.53415566956183E-11
5950,-3.70114728892152E-11,2.45544066237209E-11
5960,-3.57741403545411E-11,2.37914526007115E-11
5970,-3.45783350783856E-11,2.30519609911334E-11
5980,-3.34226573332651E-11,2.23352199962771E-11
5990,-3.23057547921645E-11,2.16405390208324E-11
6000,-3.1226320915255E-11,2.09672480572188E-11
6010,-3.01830933918161E-11,2.03146970871299E-11
6020,-2.91748526354629E-11,1.96822554998396E-11
6030,-2.82004203308439E-11,1.90693115268275E-11
6040,-2.72586580300388E-11,1.84752716922902E-11
6050,-2.63484657969478E-11,1.78995602791189E-11
6060,-2.54687808980209E-11,1.73416188099309E-11
6070,-2.46185765377357E-11,1.6800905542752E-11
6080,-2.37968606372841E-11,1.62768949809609E-11
6090,-2.30026746549843E-11,1.57690773971096E-11
6100,-2.22350924469844E-11,1.52769583702503E-11
6110,-2.14932191668727E-11,1.48000583364019E-11
6120,-2.07761902028599E-11,1.4337912151803E-11
6130,-2.00831701512426E-11,1.38900686686048E-11
6140,-1.9413351824902E-11,1.34560903226664E-11
6150,-1.87659552956369E-11,1.30355527331226E-11
6160,-1.81402269691688E-11,1.26280443134053E-11
6170,-1.75354386916983E-11,1.22331658934033E-11
6180,-1.69508868869317E-11,1.18505303524574E-11
6190,-1.63858917225317E-11,1.14797622628933E-11
6200,-1.58397963049843E-11,1.11204975438022E-11
6210,-1.5311965901907E-11,1.0772383124787E-11
6220,-1.48017871908588E-11,1.04350766194004E-11
6230,-1.43086675337433E-11,1.01082460080049E-11
6240,-1.38320342759286E-11,9.79156932979544E-12
6250,-1.3371334069237E-11,9.48473438373019E-12
6260,-1.29260322179875E-11,9.18743843812115E-12
6270,-1.2495612047302E-11,8.89938794864419E-12
6280,-1.20795742929125E-11,8.62029828453336E-12
6290,-1.16774365117344E-11,8.34989346273086E-12
6300,-1.12887325124942E-11,8.08790588976993E-12
6310,-1.09130118057276E-11,7.83407611117399E-12
6320,-1.05498390724826E-11,7.58815256816084E-12
6330,-1.01987936510909E-11,7.34989136144648E-12
6340,-9.85946904138792E-12,7.11905602194861E-12
6350,-9.53147242578624E-12,6.89541728819502E-12
6360,-9.21442420662546E-12,6.67875289024747E-12
6370,-8.90795755924341E-12,6.46884733995665E-12
6380,-8.61171800023095E-12,6.26549172736877E-12
6390,-8.32536297035213E-12,6.06848352310908E-12
6400,-8.04856143162876E-12,5.87762638657256E-12
6410,-7.78099347810602E-12,5.69272997975639E-12
6420,-7.52234995983195E-12,5.51360978657331E-12
6430,-7.27233211959999E-12,5.34008693748956E-12
6440,-7.03065124201907E-12,5.17198803933503E-12
6450,-6.7970283144907E-12,5.00914501013775E-12
6460,-6.57119369968704E-12,4.85139491883852E-12
6470,-6.35288681913769E-12,4.69857982974584E-12
6480,-6.14185584754645E-12,4.55054665159479E-12
6490,-5.93785741747246E-12,4.4071469910774E-12
6500,-5.74065633402231E-12,4.26823701071581E-12
6510,-5.55002529921216E-12,4.13367729095288E-12
6520,-5.3657446456704E-12,4.00333269633845E-12
6530,-5.18760207936268E-12,3.87707224569294E-12
6540,-5.0153924310321E-12,3.75476898613309E-12
6550,-4.84891741605787E-12,3.63629987084789E-12
6560,-4.68798540244584E-12,3.52154564051608E-12
6570,-4.53241118667406E-12,3.41039070825918E-12
6580,-4.38201577712623E-12,3.3027230480276E-12
6590,-4.23662618485486E-12,3.19843408631951E-12
6600,-4.09607522142469E-12,3.09741859713575E-12
6610,-3.96020130359576E-12,2.9995746000761E-12
6620,-3.82884826461347E-12,2.90480326148528E-12
6630,-3.70186517188103E-12,2.81300879855963E-12
6640,-3.57910615079744E-12,2.72409838632771E-12
6650,-3.46043021455138E-12,2.63798206742063E-12
6660,-3.34570109966867E-12,2.55457266455054E-12
6670,-3.234787107118E-12,2.47378569561751E-12
6680,-3.12756094878587E-12,2.39553929136779E-12
6690,-3.02389959913871E-12,2.31975411552844E-12
6700,-2.92368415189585E-12,2.24635328734527E-12
6710,-2.82679968154339E-12,2.17526230645349E-12
6720,-2.73313510952456E-12,2.10640898001222E-12
6730,-2.64258307494804E-12,2.03972335203602E-12
6740,-2.55503980966073E-12,1.97513763485856E-12
6750,-2.47040501753723E-12,1.91258614266546E-12
6760,-2.38858175784271E-12,1.85200522703498E-12
6770,-2.30947633253128E-12,1.79333321442714E-12
6780,-2.2329981773464E-12,1.7365103455636E-12
6790,-2.1590597565943E-12,1.68147871664203E-12
6800,-2.08757646146617E-12,1.62818222233067E-12
6810,-2.01846651178871E-12,1.57656650049015E-12
6820,-1.95165086108692E-12,1.52657887857112E-12
6830,-1.88705310484705E-12,1.47816832163794E-12
6840,-1.82459939187113E-12,1.43128538196989E-12
6850,-1.76421833861866E-12,1.38588215019299E-12
6860,-1.7058409464341E-12,1.34191220789664E-12
6870,-1.6494005215626E-12,1.29933058169089E-12
6880,-1.59483259785965E-12,1.25809369866121E-12
6890,-1.54207486210338E-12,1.21815934317898E-12
6900,-1.49106708182153E-12,1.17948661502719E-12
6910,-1.4417510355481E-12,1.14203588880196E-12
6920,-1.39407044542739E-12,1.10576877455162E-12
6930,-1.34797091208611E-12,1.07064807961625E-12
6940,-1.30339985169693E-12,1.03663777163167E-12
6950,-1.26030643515934E-12,1.00370294266301E-12
6960,-1.2186415293263E-12,9.71809774433681E-13
6970,-1.17835764020754E-12,9.40925504617091E-13
6980,-1.13940885808272E-12,9.11018394158958E-13
6990,-1.10175080445999E-12,8.82057695599244E-13
7000,-1.06534058081756E-12,8.54013622363596E-13
7010,-1.03013671906816E-12,8.26857318995076E-13
7020,-9.96099133688132E-13,8.00560832297799E-13
7030,-9.6318907545502E-13,7.75097083364971E-13
7040,-9.31369086739384E-13,7.50439840464607E-13
7050,-9.00602958298357E-13,7.2656369275702E-13
7060,-8.70855687520298E-13,7.03444024818919E-13
7070,-8.42093438071602E-13,6.81056991949714E-13
7080,-8.14283500898354E-13,6.59379496236354E-13
7090,-7.87394256537168E-13,6.38389163353708E-13
7100,-7.61395138691047E-13,6.18064320078208E-13
7110,-7.36256599027641E-13,5.98383972493108E-13
7120,-7.11950073158689E-13,5.79327784864383E-13
7130,-6.88447947760852E-13,5.60876059166905E-13
7140,-6.65723528799464E-13,5.43009715241137E-13
7150,-6.43751010818072E-13,5.25710271561176E-13
7160,-6.22505447257838E-13,5.08959826595567E-13
7170,-6.01962721772147E-13,4.92741040742839E-13
7180,-5.82099520502884E-13,4.77037118824263E-13
7190,-5.62893305286037E-13,4.61831793116872E-13
7200,-5.4432228775531E-13,4.47109306910266E-13
7210,-5.26365404313553E-13,4.32854398571227E-13
7220,-5.09002291942789E-13,4.19052286100672E-13
7230,-4.92213264824628E-13,4.05688652167888E-13
7240,-4.75979291743808E-13,3.92749629607494E-13
7250,-4.60281974248531E-13,3.80221787364986E-13
7260,-4.45103525542127E-13,3.68092116877143E-13
7270,-4.30426750081472E-13,3.56348018874012E-13
7280,-4.16235023858392E-13,3.44977290589552E-13
7290,-4.025122753411E-13,3.33968113368441E-13
7300,-3.89242967053481E-13,3.23309040656912E-13
7310,-3.76412077770791E-13,3.12988986365833E-13
7320,-3.64005085311063E-13,3.02997213594644E-13
7330,-3.52007949902208E-13,2.93323323705068E-13
7340,-3.40407098105472E-13,2.83957245733861E-13
7350,-3.29189407276572E-13,2.74889226134206E-13
7360,-3.18342190546449E-13,2.6610981883565E-13
7370,-3.07853182304199E-13,2.57609875612788E-13
7380,-2.97710524165326E-13,2.49380536753222E-13
7390,-2.87902751409022E-13,2.4141322201558E-13
7400,-2.78418779868748E-13,2.33699621868669E-13
7410,-2.69247893260888E-13,2.26231689003115E-13
7420,-2.603797309368E-13,2.19001630107102E-13
7430,-2.51804276044048E-13,2.12001897898067E-13
7440,-2.43511844083096E-13,2.05225183402464E-13
7450,-2.35493071846214E-13,1.9866440847596E-13
7460,-2.27738906725759E-13,1.92312718556634E-13
7470,-2.20240596379469E-13,1.86163475643996E-13
7480,-2.12989678740803E-13,1.80210251496862E-13
7490,-2.05977972362742E-13,1.74446821043308E-13
7500,-1.99197567083908E-13,1.68867155996179E-13
7510,-1.9264081500618E-13,1.63465418667776E-13
7520,-1.86300321773377E-13,1.58235955977581E-13
7530,-1.80168938140937E-13,1.53173293647033E-13
7540,-1.74239751826827E-13,1.48272130575596E-13
7550,-1.68506079634279E-13,1.43527333392469E-13
7560,-1.62961459837261E-13,1.38933931178539E-13
7570,-1.57599644819858E-13,1.34487110353282E-13
7580,-1.52414593961099E-13,1.30182209721501E-13
7590,-1.47400466756995E-13,1.26014715674961E-13
7600,-1.42551616171855E-13,1.21980257544104E-13
7610,-1.37862582211217E-13,1.18074603095204E-13
7620,-1.33328085708966E-13,1.1429365416843E-13
7630,-1.28943022321493E-13,1.10633442452461E-13
7640,-1.24702456721954E-13,1.07090125391411E-13
7650,-1.20601616987952E-13,1.03659982219943E-13
7660,-1.16635889176168E-13,1.00339410122605E-13
7670,-1.1280081207769E-13,9.71249205135125E-14
7680,-1.0909207214801E-13,9.40131354326502E-14
7690,-1.05505498605837E-13,9.10007840551563E-14
7700,-1.02037058695103E-13,8.80846993100784E-14
7710,-9.86828531046884E-14,8.52618146051934E-14
7720,-9.54391115406234E-14,8.25291606545917E-14
7730,-9.23021884456458E-14,7.98838624058225E-14
7740,-8.92685588612154E-14,7.73231360635027E-14
7750,-8.63348144272153E-14,7.48442862063808E-14
7760,-8.34976595147496E-14,7.24447029949455E-14
7770,-8.07539074875897E-14,7.0121859466754E-14
7780,-7.81004770879785E-14,6.78733089167462E-14
7790,-7.55343889426401E-14,6.56966823598921E-14
7800,-7.30527621849839E-14,6.35896860736051E-14
7810,-7.06528111896268E-14,6.1550099217429E-14
7820,-6.83318424154851E-14,5.95757715275886E-14
7830,-6.60872513538158E-14,5.76646210840636E-14
7840,-6.39165195777059E-14,5.5814632147922E-14
